채용공고명,포지션 상세,주요 업무,자격 요건,우대사항,혜택 및 복지,채용 전형,태그,마감일,면접리뷰,회사위치,회사명
모바일 게임 기획자 (캐주얼 게임),"■ 팀스파르타 소개

""누구나 큰일 낼 수 있어""
팀스파르타는 모두가 저마다 가슴 뛰는 자기 일을 하나씩 갖고 사는 세상을 꿈꾸고 있습니다.
각자의 삶에 소프트웨어라는 도구를 더해 나만의 큰일을 가꾸어 나아갈 수 있도록 팀스파르타가 함께하겠습니다.

누구나 쉽고 재밌게 코딩을 배울 수 있는 온라인 코딩 교육 '스파르타코딩클럽'을 필두로, 전공, 직업, 실력에 관계 없이 ‘누구나’ IT 분야에 취업할 수 있도록 돕는 '내일배움캠프', 업계에 첫 발을 내딛는 취업 코스부터 현직자 코스까지 담은 부트캠프 '항해99' 뿐만 아니라 채용 플랫폼, 모바일 게임, 외주 개발, 신규 서비스를 개발하는 스튜디오 등
IT 연합체를 향해 다양한 도전을 이끌어 가고 있습니다.

팀스파르타는 2019년부터 이어진 폭발적인 성장을 바탕으로 이제 코딩 교육업을 넘어 IT 연합체를 목표로 빠르게 나아가고 있습니다. 팀스파르타에서는 각자의 삶에 큰일을 만들어나가는 여정을 함께하실 팀원을 찾고 있습니다. 몰입하여 즐겁게 일하고, 내가 하는 일에 대한 애정을 가진 분이라면 지금 바로 팀스파르타에 합류하세요!


[주요 연혁]

• [2023.09] ‘2023 올해의 브랜드 대상’ 수상
• [2023.07] 상반기 거래액 200억 원 돌파
• [2023.01] ‘2023 대한민국 퍼스트브랜드 대상’ 수상
• [2022.12] ‘소프트웨어 산업인의 날’ 대통령 표창
• [2022.09] ‘2022 올해의 브랜드 대상’ 수상
• [2022.02] 시리즈A 130억 원 투자 유치
• [2021.12] 고용노동부장관 표창
• [2020.05] 팀스파르타 법인 설립
• [2019.05] 스파르타코딩클럽 오프라인 론칭","■ 로켓단게임즈를 소개해요

• 로켓단게임즈는 '주술사 키우기', '타락 전사 키우기' 등 방치형 RPG 게임을 제작했고, 이제는 디펜스, 로그라이트, 시뮬레이션, 하이퍼 캐주얼 등 캐주얼 장르에 새롭게 도전하고 시도 중에 있습니다. 보통 게임은 블록버스터 산업이라고 많이 이야기하지만, 저희의 생각은 다릅니다. ""만약 꾸준한 개발 리소스를 활용해 중타 이상의 다작을 할 수 있다면, 이를 모아 성공에 준하는 규모를 만들 수 있지 않을까."" 이것이 로켓단게임즈의 시작이었습니다.

• 로켓단게임즈는 게임 제작의 새로운 방정식으로 게임 업계에서의 성공을 만들어내고 싶습니다. 그 시기의 트렌드에 맞는 게임을 빠른 시간에 시장에 내놓는 일을 반복하는 방식, 즉 가벼운 접근 방식으로 고객과의 접점을 많이 만들어내어 성공을 만드는 일에 도전 중입니다. 이제 로켓단게임즈는 그동안의 제작 경험과 새롭게 합류한 업계 다수의 성공 경험을 보유한 디렉터님과 함께, 세상을 즐겁게 하기 위한 동료들을 찾고 있어요. 모든 것이 오픈된 환경으로 제작부터 게임 서비스 단계까지 모든 데이터와 과정에서 얻을 수 있는 인사이트를 구성원 모두에게 공유하고 있습니다. 이 과정에서 구성원 개인의 성장도 함께 누릴 수 있는 기회도 얻어가실 수 있어요!

• 로켓단게임즈는 팀스파르타의 지원을 받고 있는 탄탄한 게임 스튜디오입니다. 게임에 대한 애정과 제작 역량을 모두 겸비한 동료들과 함께 더 멋진 게임을 마음껏 만들고 싶은 분이라면, '로켓단게임즈'가 어쩌면 꼭 맞는 곳일지도 모릅니다. 아직은 꿈일 뿐이지만 최소한 매출 1천억 원 이상의 스튜디오가 될 때까지, 그만둘 생각은 없습니다. 처음부터 끝까지 온전히 나의 구상을 담아내는 경험, 함께 하시죠!

# 로켓단게임즈 인터뷰 보러가기 : https://bit.ly/3AJAsSO
# 새로 합류한 게임 디렉터님 기사 보러가기 : https://zdnet.co.kr/view/?no=20240905084958

■  합류하면 이런 업무를 해요

• 콘텐츠, 시스템, 밸런스,BM 등 게임 전반적인 신규 캐주얼 게임 기획 업무에 참여합니다.
• 성공 노하우가 있는 선임과 함께 기획자로 성장하기 위한 기획자의 소양, 시장 분석, 코어 루프 설계, 데이터 분석, 수익화 기법 등 기획 전반 교육을 받아보실 수 있습니다.
• 게임 트렌드를 분석하여 기회를 발굴하고, 역기획과 믹스로 로켓단게임즈만의 재미를 창조합니다.
• 플레이 테스트, 유저 피드백 및 라이브 지표 등 데이터를 바탕으로 게임 시스템을 개선하고 기획합니다.","■ 로켓단게임즈를 소개해요

• 로켓단게임즈는 '주술사 키우기', '타락 전사 키우기' 등 방치형 RPG 게임을 제작했고, 이제는 디펜스, 로그라이트, 시뮬레이션, 하이퍼 캐주얼 등 캐주얼 장르에 새롭게 도전하고 시도 중에 있습니다. 보통 게임은 블록버스터 산업이라고 많이 이야기하지만, 저희의 생각은 다릅니다. ""만약 꾸준한 개발 리소스를 활용해 중타 이상의 다작을 할 수 있다면, 이를 모아 성공에 준하는 규모를 만들 수 있지 않을까."" 이것이 로켓단게임즈의 시작이었습니다.

• 로켓단게임즈는 게임 제작의 새로운 방정식으로 게임 업계에서의 성공을 만들어내고 싶습니다. 그 시기의 트렌드에 맞는 게임을 빠른 시간에 시장에 내놓는 일을 반복하는 방식, 즉 가벼운 접근 방식으로 고객과의 접점을 많이 만들어내어 성공을 만드는 일에 도전 중입니다. 이제 로켓단게임즈는 그동안의 제작 경험과 새롭게 합류한 업계 다수의 성공 경험을 보유한 디렉터님과 함께, 세상을 즐겁게 하기 위한 동료들을 찾고 있어요. 모든 것이 오픈된 환경으로 제작부터 게임 서비스 단계까지 모든 데이터와 과정에서 얻을 수 있는 인사이트를 구성원 모두에게 공유하고 있습니다. 이 과정에서 구성원 개인의 성장도 함께 누릴 수 있는 기회도 얻어가실 수 있어요!

• 로켓단게임즈는 팀스파르타의 지원을 받고 있는 탄탄한 게임 스튜디오입니다. 게임에 대한 애정과 제작 역량을 모두 겸비한 동료들과 함께 더 멋진 게임을 마음껏 만들고 싶은 분이라면, '로켓단게임즈'가 어쩌면 꼭 맞는 곳일지도 모릅니다. 아직은 꿈일 뿐이지만 최소한 매출 1천억 원 이상의 스튜디오가 될 때까지, 그만둘 생각은 없습니다. 처음부터 끝까지 온전히 나의 구상을 담아내는 경험, 함께 하시죠!

# 로켓단게임즈 인터뷰 보러가기 : ",,,,"커피·스낵바, 건강검진지원, 유급휴가, 자기계발지원, 연봉상위11~20%, 51~300명, 설립4~9년, 누적투자100억이상, 식대지원, 유망산업",상시채용,"신속 간결한 스타일, 과정 중심 질문, 친절/따뜻한 스타일, 자유롭고 편한 환경",서울 강남구,팀스파르타
[캐주얼 보드 프로젝트] 설정 기획자,"- 컴투스 창업자의 새로운 도전… ""해긴은 모두가 행복한 게임회사를 꿈꿉니다""
(","• 캐릭터 설정 및 대사 작성
•  공간 배경 설정
 • 건물 설정
 • 장면 전환 연출 기획","• 캐릭터 설정 및 대사 작성
•  공간 배경 설정
 • 건물 설정
 • 장면 전환 연출 기획",,,,"편의시설, 자유로운휴가, 대출지원, 식대지원, 커피·스낵바, 건강검진지원, 보너스, 51~300명, 연봉상위11~20%, 설립4~9년, 아시아·태평양 고성장, AI 선도 기업, 스톡옵션, 인원 급성장, 누적투자100억이상",상시채용,"여유 있는 속도감, 과정 중심 질문, 친절/따뜻한 스타일, 자유롭고 편한 환경",서울 구로구,해긴
"[캐주얼 보드 프로젝트] 시스템, 밸런스 기획자","- 컴투스 창업자의 새로운 도전… ""해긴은 모두가 행복한 게임회사를 꿈꿉니다""
(","• 게임 내 각종 시스템 설계 및 데이터 구조 설정
 • 보상 설정 및 경제 밸런싱
 • 이벤트 운영 및 재화 모니터링","• 게임 내 각종 시스템 설계 및 데이터 구조 설정
 • 보상 설정 및 경제 밸런싱
 • 이벤트 운영 및 재화 모니터링",,,,"편의시설, 자유로운휴가, 대출지원, 식대지원, 커피·스낵바, 건강검진지원, 보너스, 51~300명, 연봉상위11~20%, 설립4~9년, 아시아·태평양 고성장, AI 선도 기업, 스톡옵션, 인원 급성장, 누적투자100억이상",상시채용,"여유 있는 속도감, 과정 중심 질문, 친절/따뜻한 스타일, 자유롭고 편한 환경",서울 구로구,해긴
[플랫폼팀] Unity 플랫폼 프로그래머,"[ Let's change people into gamers! ]
지금도 내 곁에, 내 손에
플레이하드는 깊은 몰입감과 즐거움으로 오래도록 기억될 게임을 만들어요.
글로벌 누적 4,600만 다운로드, 23년 매출 200% 상승을 기록하며 계속 성장하고 있어요.

우리는 멈추지 않아요.
더 큰 목표를 향해 빠른 도전과 실패를 거듭하며 달려가고 있어요.
가슴뛰는 이 여정에 함께하고 싶다면 지금 바로 플레이하드와 함께해요.

[ PLAYHARD는 지금 이 순간에도 전 세계인을 게이머로 만들고 있어요 ]
•우르르용병단 2023 ‘Google Play Best of 2023’ 에서 Best Indies 부문 수상
•우르르용병단 2023 한국 AOS, IOS 인기게임 차트 1위 달성
•우르르용병단 2023 대만 AOS 인기게임 차트, IOS 게임 카테고리 1위 달성
•우르르용병단 2023 일본 IOS 카테고리 차트 1위 달성 / 일본 IOS 인기게임 차트 3위 달성
•공장주식회사 2,500만 누적 다운로드 기록 달성
•히어로팩토리 1,000만 누적 다운로드 기록 달성
•레드브로즈 2016 구글 인디게임 페스티벌 우승

[ PLAYHARD에는 이런 동료들이 모여 있어요 ]
• 책임감을 가지고 적극적으로 문제를 해결하려 노력해요.
• 팀과 회사에 목표와 방향성에 맞는 일이라면 책임지고 끝까지 해결하기 위해 노력해요
• 끝내는 걸로 그치지 않고 결과를 확인하고 다른 문제는 없는지 끊임 없이 고민하고 노력해요

• 더 나은 성과를 위해 다양한 시도를 절대 멈추지 않아요 .
• 현실에 안주하지 않고 더 나은 결과물을 위해 끊임없이 도전하고 노력해요.
• 누구든 다양한 의견을 낼 수 있고 그 의견이 충분히 실현될 수 있어요.

•가슴 속에 모두 열정이 가득 담긴 목표가 있어요.
• 스스로 원하는 목표가 있는 분을 선호해요. 또 그 목표를 플레이하드에서 함께 이룰 수 있도록 도와드려요.
• 플레이하드 동료들은 그 꿈을 이루기 위해 누구보다 진심으로 노력해요.

• 다양한 게임을 정말 좋아하고 즐기고 있어요.
• 직접 유저로서 다양한 게임들을 플레이해보고 즐기는 동료들이 많아요.
• 게임을 재밌게 즐겨본 경험이 많을수록 유저의 마음을 잘 이해하고 만들 수 있다고 믿어요","* 플랫폼 개발
 - 게임 개발팀에서 사용하는 공용 기능 제공
 - 공용 프레임워크
 - 데이터 테이블, UI, 서버 연동, Localization, 리소스 다운로드
 - 플랫폼 및 스토어 별 네이티브 기능 연동
 - 로깅 수집, 소셜 인터랙션, 크로스 프로모션 등

* 프로세스 자동화 및 인프라 구축
 - 빌드 자동화
 - CI/CD

* 게임개발팀 기술 지원","* 플랫폼 개발
 - 게임 개발팀에서 사용하는 공용 기능 제공
 - 공용 프레임워크
 - 데이터 테이블, UI, 서버 연동, Localization, 리소스 다운로드
 - 플랫폼 및 스토어 별 네이티브 기능 연동
 - 로깅 수집, 소셜 인터랙션, 크로스 프로모션 등

* 프로세스 자동화 및 인프라 구축
 - 빌드 자동화
 - CI/CD

* 게임개발팀 기술 지원",,,,"Git, Github, JavaScript",,,서울 마포구,플레이하드
[가디스오더] 시스템 기획자,"픽셀트라이브(PIXELTRIBE)는 픽셀아트라는 강한 아이덴티티에 기반하여, 단결된 조직력으로 글로벌 게임 시장에서 강한 영향력을 펼치고자 2024년 2월에 설립된 신규 게임 개발사입니다.

""Tribe : 부족""
전통적인 가치와 문화를 중시하지만, 동시에 새로운 도전과 변화를 받아들일 수 있는 유연성도 갖추고 있는 것이 바로 '부족'이라고 생각합니다.
우리 모두가 조직의 구성원으로서 각자의 역할과 책임을 완수하며, 모두가 함께 연결되어 우리의 목표를 달성하는 조직이 되고자 합니다.

＃High-Quality 2D 프로젝트에 관심이 많고
＃깊이 있는 스토리의 진정성을 통한 콘텐츠의 힘을 믿고
＃대중적이고, 위트 있으면서도 오랫동안 사랑 받을 명작 제작에 기여하고 싶으시다면

픽셀트라이브 여정에 함께해 주세요.
우리와 함께 글로벌 게임 시장에서 새로운 역사를 써 내려가고 싶은 여러분을 기다립니다.


Ι 우리는 이렇게 일하고 있어요!
＃CREATIVE
전 세계 게이머에게 인정받을 수 있는 창의적인 경험을 추구합니다.

＃ CALIBARTED
게임의 핵심과 차별화 포인트를 일찍 그리고 더 자주 검증합니다.

＃COST EFFECTIVE
물량보단 창발적 콘텐츠를, 그리고 개발 과정에서의 효율성을 추구합니다.


Ι 시스템 기획팀을 소개해 드립니다
우리는 게임의 핵심적인 시스템을 설계하며, 플레이어들에게 잊지 못할 경험을 선사하기 위해 최선을 다하고 있습니다.
게임의 구조와 캐릭터 성장 및 수집 메커니즘을 정교하게 설계하여, 게임의 재미와 몰입도를 극대화하는 것을 목표로 합니다. 팀원들은 창의적이고 논리적인 사고를 바탕으로 혁신적인 시스템을 구상하며, 이를 게임에 구현하는 과정을 주도합니다. 또한, 다양한 분야의 전문가들과 긴밀하게 협업하여, 전 세계 플레이어들이 즐길 수 있는 게임을 만들어 나가고 있습니다.","합류 후 함께하실 업무에 대해서 소개해 드릴게요.

• “Goddess Order”의 전반적인 콘텐츠 시스템의 방향 설정 및 시스템 규칙 기획 업무를 담당합니다.
• 시스템 데이터 구조 설계 및 관리 업무를 담당합니다.","합류 후 함께하실 업무에 대해서 소개해 드릴게요.

• “Goddess Order”의 전반적인 콘텐츠 시스템의 방향 설정 및 시스템 규칙 기획 업무를 담당합니다.
• 시스템 데이터 구조 설계 및 관리 업무를 담당합니다.",,,,"복지포인트, 식대지원, 건강검진지원",상시채용,,,픽셀트라이브
게임서버 엔지니어,"넷마블컴퍼니는 ‘Great Game Culture Company’의 비전 아래 재미있는 게임으로 전세계인의 삶을 즐겁게 하기 위해 역량 있는 일류 인재들이 모인 기업입니다.

2000년 설립 이래 넷마블컴퍼니는 탄탄한 개발력과 창의적 사업마인드로 세계 최초로 “퍼블리싱” 비즈니스 사업 모델을 도입하였습니다.
‘리니지2 레볼루션’, ‘모두의마블’, ‘세븐나이츠’, ‘마블 퓨처파이트’, ‘몬스터길들이기’, ‘스톤에이지’ 등, 장수 모바일 게임과 ‘마블 컨테스트 오브 챔피언스’, '해리포터: 호그와트 미스테리‘, ‘킹오브파이터즈 올스타’, '일곱 개의 대죄' 등 글로벌 인기 모바일게임을 서비스하고 있습니다. 뿐만 아니라, 대표 PC 스포츠 게임인 ‘마구마구’ 등을 서비스 하며, 전세계 게임 이용자들에게 새로운 게임세상의 재미를 전파하고 있습니다.","게임 서버 기술 아키텍쳐 분석 및 기술 컨설팅
  - 서버 아키텍쳐 분석
  - 리스크 분석과 해결안 제시
게임 서버 기술 R&D
  - 장르별 다양한 서버 구조에 대한 Best Practice 제공
  - 최신 서버 기술 연구 및 공유(매뉴얼화)","게임 서버 기술 아키텍쳐 분석 및 기술 컨설팅
  - 서버 아키텍쳐 분석
  - 리스크 분석과 해결안 제시
게임 서버 기술 R&D
  - 장르별 다양한 서버 구조에 대한 Best Practice 제공
  - 최신 서버 기술 연구 및 공유(매뉴얼화)",,,,"Java, C, C++",,,서울 구로구,넷마블
게임 클라이언트 최적화 엔지니어,"넷마블컴퍼니는 ‘Great Game Culture Company’의 비전 아래 재미있는 게임으로 전세계인의 삶을 즐겁게 하기 위해 역량 있는 일류 인재들이 모인 기업입니다.

2000년 설립 이래 넷마블컴퍼니는 탄탄한 개발력과 창의적 사업마인드로 세계 최초로 “퍼블리싱” 비즈니스 사업 모델을 도입하였습니다.
‘리니지2 레볼루션’, ‘모두의마블’, ‘세븐나이츠’, ‘마블 퓨처파이트’, ‘몬스터길들이기’, ‘스톤에이지’ 등, 장수 모바일 게임과 ‘마블 컨테스트 오브 챔피언스’, '해리포터: 호그와트 미스테리‘, ‘킹오브파이터즈 올스타’, '일곱 개의 대죄' 등 글로벌 인기 모바일게임을 서비스하고 있습니다. 뿐만 아니라, 대표 PC 스포츠 게임인 ‘마구마구’ 등을 서비스 하며, 전세계 게임 이용자들에게 새로운 게임세상의 재미를 전파하고 있습니다.","넷마블 내 서비스 대상 게임 클라이언트 최적화 진행
외부 파트너사(Google, Apple, Samsung, Unity, Unreal 등)와 기술협업 진행","넷마블 내 서비스 대상 게임 클라이언트 최적화 진행
외부 파트너사(Google, Apple, Samsung, Unity, Unreal 등)와 기술협업 진행",,,,"Unreal Engine, Unity3D",,,서울 구로구,넷마블
AI Game Studio TA (Technical Artist),"* 베이글코드를 소개합니다.
베이글코드는 글로벌 시장을 무대로 빠르게 성장하고 있는 모바일 게임 기업입니다.
베이글코드는 '글로벌, 성장, 즐거움'라는 키워드를 가지고 전 세계 사람들이 즐길 수 있는 모바일 게임을 개발하고 운영하고 있습니다. 2012년 창업 초기 때부터 현재까지 글로벌 시장에서 쌓아 온 탄탄한 데이터, AI 기술, 마케팅 역량을 바탕으로 최상의 게임 서비스를 제공하고 있습니다.
전 세계 5,000만 명이 즐기고 있는 베이글코드의 대표작으로는 클럽 베가스, 캐시 빌리어네어, 잭팟 매드니스 등이 있습니다. 특히, 클럽 베가스는 소셜카지노 평균 플레이 시간 1위를 자랑하며 2022년 미국 안드로이드 전체 매출 TOP 100에 진입하기도 했습니다. 현재 베이글코드는 소셜카지노 분야 성공 경험을 기반으로 장르 다각화를 위해 국내외 세계 곳곳에서 캐주얼 게임을 개발하고 있습니다.
베이글코드는 한국, 베트남, 이스라엘, 우크라이나에 오피스가 있고, 이 외에도 다양한 국적의 인재들이 함께 하고 있습니다. 다른 문화, 언어, 배경의 동료를 존중하며 공동의 목표를 달성하기 위해 협업합니다.
베이글코드의 2023년 매출액은 1,062억 원으로 최근 5년간 연평균 60% 고속 성장을 기록했습니다. 베이글코드는 우리의 업무가 즐거워야만 우리의 게임이 즐겁게 플레이 될 수 있다고 믿고 있습니다. 글로벌 유수의 인재들과 함께 협업할 수 있고, 더 많은 가치를 만들며 즐겁게 성장할 수 있는 베이글코드에 탑승하세요.

※ CEO Interview 영상을 통해 베이글코드에 더욱 자세히 알아보세요! -＞","이런 일을 함께하고 싶습니다.
• 게임 프로젝트 아트표현을 위한 기술제안과 R&D
• 리소스 생산성 향상을 위한 툴 제작 및 구조정리
• 기술적 난이도가 있는 아트 컨텐츠 제작
• 아트, 프로그램, 기획간 기술범위 업무 조율과 가이드 제작
• 유니티를 이용한 아트 리소스 제작","이런 일을 함께하고 싶습니다.
• 게임 프로젝트 아트표현을 위한 기술제안과 R&D
• 리소스 생산성 향상을 위한 툴 제작 및 구조정리
• 기술적 난이도가 있는 아트 컨텐츠 제작
• 아트, 프로그램, 기획간 기술범위 업무 조율과 가이드 제작
• 유니티를 이용한 아트 리소스 제작",,,,"식대지원, 커피·스낵바, 자기계발지원, 유망산업, 51~300명, AI 선도 기업, 연봉상위6~10%, 인원 급성장, 설립10년이상, 누적투자100억이상",2024.10.31,"신속 간결한 스타일, 과정 중심 질문, 답변을 유도해 준 편, 자유롭고 편한 환경",서울 강남구,베이글코드(Bagelcode)
게임 운영 담당자,"어제111퍼센트는 재미라는 본질에 집중합니다.
재미는 심플하고, 참신한 룰에서 나옵니다.

바둑이 흑과 백, 두가지 돌과 심플한 룰로 약 5,000년 동안 인류를 즐겁게 했고,
랜덤 다이스 디펜스가 주사위와 참신한 룰로 약 2,500만 유저를 즐겁게 했듯,
재미있는 게임은 기획부터 런칭까지 6개월이면 충분합니다.

공감 : 111퍼센트만의 개발 속도와 방향성에 깊이 공감하고, 변화에 민첩하게 대응합니다.
도전 : 실패를 두려워 하지 않고, 그 과정을 발판삼아 한단계 성장하여, 다음 도전에서는 성공가능성을 높입니다.
몰입 : 매우 깊고 밀도 있는 몰입으로 매 순간 최고의 속도를 내며 우리의 성공을 앞당깁니다.

111퍼센트는 위 핵심가치를 따라 매번 최고의 속도를 내며 계속해서 도전하고 있습니다.
변화와 실패를 두려워하지 않고, 빠르고 깊은 몰입을 통해 세상에 없던 재미를 개발하고 싶으신 분들을 두 팔 벌려 환영합니다.

* 고용형태
• 정규직(수습기간 3개월)

* 채용전형
서류전형 ＞ 1차 인터뷰 ＞ 2차 인터뷰 ＞ 처우 협상 ＞ 최종합격

* 파일 첨부할 경우 PDF파일로 첨부해주세요.



111퍼센트 운영팀 운영셀 소개

111퍼센트의 운영셀은 개발중인 타이틀의 운영을 준비하고, 라이브 서비스 중인 모든 타이틀의 운영 관리 및 진행하는 조직입니다.
이슈의 단순 전파 및 대응을 넘어 근본적으로 이슈를 줄일 수 있도록 게임 개선, 업무 프로세스 개선, 내부 시스템 개발 및 개선 등을 제안하거나 직접 개선을 진행 합니다.

안정적인 서비스를 기반으로 더 많은 유저분들이 111퍼센트의 게임을 즐기실 수 있도록 함께 기여하실 분을 모집합니다.","• 게임 업데이트 관련 공지 등 라이브 관련 운영 업무
• 고객 VOC 모니터링 및 대응
• 게임에서 발생하는 장애 이슈 확인 및 운영 대응
• 관련 유관 부서 및 업체와 커뮤니케이션","• 게임 업데이트 관련 공지 등 라이브 관련 운영 업무
• 고객 VOC 모니터링 및 대응
• 게임에서 발생하는 장애 이슈 확인 및 운영 대응
• 관련 유관 부서 및 업체와 커뮤니케이션",,,,"편의시설, 건강검진지원, 커피·스낵바, 식대지원, 연봉상위11~20%, 51~300명, 설립4~9년",상시채용,"신속 간결한 스타일, 과정 중심 질문, 진중/칼같은 스타일, 캐주얼/편한 분위기",서울 강남구,111퍼센트
아트 PM,"앤유는 PC MMORPG 개발 착수와 함께 설립된 회사로 우리가 만든 게임으로 전세계 유저들과 소통하는 꿈을 앞당기기 위해 끊임없이 도전하고 성장하고 있습니다.

유저를 먼저 생각하고 유저와 함께 하며 유저가 원하는 게임을 만들고자 하는 게임 회사입니다.
앤유는 게임을 통해 유저 그리고 직원들에게 즐거움을 선사할 것입니다.

즐거움에 대한 열정과 자기만의 빛나는 역량을 지닌 당신의 합류를 기대합니다.","• 로드맵에 맞춘 피처별 일정/일감 관리
• 리소스 제작 관련 리스크 파악, 보고, 조율
• 외주 진행 및 외주 관련 예산 관리, 보고
• 대내외적인 커뮤니케이션 진행, 이슈사항 체크 및 조율
• 효율적인 업무 프로세스 수립/개선 관리","• 로드맵에 맞춘 피처별 일정/일감 관리
• 리소스 제작 관련 리스크 파악, 보고, 조율
• 외주 진행 및 외주 관련 예산 관리, 보고
• 대내외적인 커뮤니케이션 진행, 이슈사항 체크 및 조율
• 효율적인 업무 프로세스 수립/개선 관리",,,,JIRA,,,서울 서초구,앤유
[게임디자인] 게임 기획,"미스틸게임즈는 전세계 플레이어들에게 감동과 행복을 선사하는 꿈을 가진 개발사입니다.
현재 개발 중인 `Time Takers`는 언리얼5 엔진 기반의 독특한 룰셋을 지닌 TPS 게임입니다.","• 게임 콘텐츠 및 시스템 기획
• 각종 수치를 기반으로 한 데이터 분석, 예측, 관리
• 게임 트렌드 분석 및 운영 전략 수립","• 게임 콘텐츠 및 시스템 기획
• 각종 수치를 기반으로 한 데이터 분석, 예측, 관리
• 게임 트렌드 분석 및 운영 전략 수립",,,,"건강검진지원, 식대지원, 편의시설, 커피·스낵바, 50명이하, 설립3년이하, 인원 급성장, 경기도 우수 중소기업",상시채용,"신속 간결한 스타일, 과정 중심 질문, 친절/따뜻한 스타일, 자유롭고 편한 환경",경기,미스틸게임즈
